hotel_id1,hotel_id2,value
0d26626dae,5a18d4d461,5.339520806894836
7c136ab3f9,5a18d4d461,0.4619254738633834
7405978021,0d26626dae,2.977780066586375
3854389e62,0d26626dae,0.051469943084000234
bdba2530bd,0d26626dae,-0.6914061818480363
a9113ac6e1,0d26626dae,-0.2373005018209834
1b8d531c88,0d26626dae,0.15966878001631324
fee6c0a8f3,0d26626dae,3.7398046060468704
d16ec86d72,0d26626dae,1.0960880195370737
7c136ab3f9,0d26626dae,0.4402033477047556
7c136ab3f9,fee6c0a8f3,0.4325851612794547
a9113ac6e1,fee6c0a8f3,-0.2788916817645177
7405978021,fee6c0a8f3,2.257861449395448
1b8d531c88,fee6c0a8f3,-0.01729963167412069
3854389e62,fee6c0a8f3,-0.1504119971864714
d16ec86d72,fee6c0a8f3,0.7108548627333483
bdba2530bd,fee6c0a8f3,-0.7349533826304991
7c136ab3f9,3854389e62,0.3581534209349618
a9113ac6e1,3854389e62,-0.333248471393691
7405978021,3854389e62,0.2621025028970473
1b8d531c88,3854389e62,0.5213267382876885
bdba2530bd,3854389e62,-0.4571984235026396
d16ec86d72,3854389e62,0.4558515144161844
d16ec86d72,bdba2530bd,-0.6368434952884493
7405978021,bdba2530bd,-0.6854351708660437
7c136ab3f9,bdba2530bd,-0.5006426758198955
1b8d531c88,bdba2530bd,-0.6186216169468515
a9113ac6e1,bdba2530bd,-0.7173491950801417
a9113ac6e1,7405978021,-0.19334150717769355
7c136ab3f9,7405978021,0.7937283772247963
d16ec86d72,7405978021,1.555855865150498
1b8d531c88,7405978021,0.5054726746458461
7c136ab3f9,1b8d531c88,0.023879754408586428
a9113ac6e1,1b8d531c88,-0.36680967105109735
d16ec86d72,1b8d531c88,0.4481303795256768
a9113ac6e1,7c136ab3f9,-0.3378811523279956
d16ec86d72,7c136ab3f9,0.31759172564349514
a9113ac6e1,d16ec86d72,-0.3270715634812849
